iter	Passed	Remaining
645	5582	3059
646	5590	3050
647	5597	3040
648	5603	3030
649	5612	3021
650	5619	3012
651	5627	3003
652	5635	2994
653	5645	2986
654	5653	2977
655	5660	2968
656	5669	2959
657	5678	2951
658	5686	2942
659	5693	2932
660	5700	2923
661	5706	2913
662	5713	2903
663	5719	2894
664	5726	2884
665	5733	2875
666	5740	2865
667	5747	2856
668	5754	2846
669	5762	2838
670	5772	2830
671	5781	2821
672	5789	2812
673	5796	2803
674	5803	2794
675	5809	2784
676	5817	2775
677	5823	2765
678	5830	2756
679	5837	2747
680	5844	2737
681	5851	2728
682	5857	2718
683	5864	2709
684	5870	2699
685	5879	2691
686	5885	2681
687	5891	2671
688	5901	2663
689	5907	2654
690	5915	2645
691	5922	2636
692	5929	2626
693	5938	2618
694	5945	2609
695	5956	2601
696	5964	2592
697	5972	2584
698	5979	2574
699	5985	2565
700	5992	2555
701	5999	2546
702	6006	2537
703	6014	2528
704	6020	2519
705	6029	2510
706	6035	2501
707	6042	2492
708	6049	2482
709	6057	2474
710	6065	2465
711	6071	2455
712	6078	2446
713	6084	2437
714	6090	2427
715	6097	2418
716	6103	2409
717	6109	2399
718	6115	2390
719	6123	2381
720	6130	2372
721	6136	2362
722	6143	2353
723	6150	2344
724	6158	2335
725	6164	2326
726	6171	2317
727	6179	2308
728	6185	2299
729	6191	2289
730	6197	2280
731	6204	2271
732	6211	2262
733	6217	2253
734	6224	2244
735	6231	2235
736	6237	2225
737	6246	2217
738	6254	2208
739	6266	2201
740	6272	2192
741	6279	2183
742	6287	2174
743	6294	2165
744	6302	2157
745	6309	2148
746	6315	2139
747	6322	2130
748	6329	2120
749	6335	2111
750	6342	2102
751	6349	2093
752	6357	2085
753	6367	2077
754	6375	2068
755	6382	2060
756	6389	2050
757	6400	2043
758	6406	2034
759	6413	2025
760	6419	2016
761	6426	2007
762	6433	1998
763	6442	1990
764	6448	1980
765	6457	1972
766	6463	1963
767	6470	1954
768	6476	1945
769	6486	1937
770	6493	1928
771	6500	1919
772	6509	1911
773	6515	1902
774	6521	1893
775	6528	1884
776	6534	1875
777	6541	1866
778	6548	1857
779	6554	1848
780	6561	1839
781	6568	1831
782	6576	1822
783	6583	1813
784	6590	1805
785	6597	1796
786	6605	1787
787	6613	1779
788	6619	1770
789	6626	1761
790	6633	1752
791	6641	1744
792	6650	1736
793	6660	1728
794	6671	1720
795	6681	1712
796	6689	1703
