iter	Passed	Remaining
700	1149	490
701	1151	488
702	1152	486
703	1154	485
704	1155	483
705	1157	481
706	1158	480
707	1160	478
708	1161	476
709	1163	475
710	1164	473
711	1166	471
712	1167	470
713	1171	469
714	1173	467
715	1175	466
716	1177	464
717	1179	463
718	1181	461
719	1183	460
720	1184	458
721	1186	456
722	1188	455
723	1190	453
724	1192	452
725	1193	450
726	1195	449
727	1197	447
728	1200	446
729	1201	444
730	1203	443
731	1205	441
732	1207	439
733	1209	438
734	1211	436
735	1213	435
736	1216	434
737	1218	432
738	1220	431
739	1222	429
740	1224	427
741	1225	426
742	1227	424
743	1229	422
744	1231	421
745	1234	420
746	1235	418
747	1237	416
748	1238	415
749	1240	413
750	1241	411
751	1243	410
752	1245	408
753	1246	406
754	1248	405
755	1251	403
756	1253	402
757	1255	400
758	1256	399
759	1258	397
760	1260	395
761	1261	394
762	1263	392
763	1265	390
764	1267	389
765	1269	387
766	1270	386
767	1272	384
768	1274	382
769	1275	381
770	1277	379
771	1278	377
772	1280	376
773	1282	374
774	1284	373
775	1286	371
776	1288	369
777	1289	368
778	1291	366
779	1293	364
780	1294	363
781	1296	361
782	1298	359
783	1300	358
784	1302	356
785	1304	355
786	1305	353
787	1307	351
788	1308	350
789	1310	348
790	1315	347
791	1317	346
792	1319	344
793	1321	342
794	1323	341
795	1324	339
796	1326	337
797	1328	336
798	1330	334
799	1332	333
800	1335	331
801	1337	330
802	1339	328
803	1341	326
804	1343	325
805	1348	324
806	1350	322
807	1352	321
808	1353	319
809	1355	317
810	1356	316
811	1358	314
812	1360	312
813	1361	311
814	1364	309
815	1366	308
816	1367	306
817	1369	304
818	1371	303
819	1372	301
820	1374	299
821	1376	298
822	1379	296
823	1382	295
824	1384	293
825	1389	292
826	1390	290
827	1392	289
828	1395	287
829	1396	286
830	1399	284
831	1403	283
832	1404	281
833	1406	279
834	1407	278
835	1409	276
836	1414	275
837	1416	273
838	1418	272
839	1419	270
840	1421	268
841	1422	266
842	1424	265
843	1426	263
844	1428	262
845	1430	260
846	1433	258
847	1434	257
848	1436	255
849	1437	253
850	1439	252
851	1441	250
852	1443	248
853	1446	247
854	1449	245
855	1451	244
856	1453	242
857	1454	240
858	1456	239
859	1457	237
860	1461	235
861	1463	234
862	1465	232
863	1467	231
864	1469	229
865	1470	227
866	1472	225
867	1474	224
868	1476	222
869	1479	221
870	1481	219
871	1483	217
872	1485	216
873	1487	214
874	1488	212
875	1490	211
876	1493	209
877	1495	207
878	1497	206
879	1499	204
880	1500	202
881	1502	200
882	1503	199
883	1505	197
884	1507	195
885	1509	194
886	1511	192
887	1513	190
888	1515	189
889	1516	187
890	1518	185
891	1519	183
892	1521	182
893	1522	180
894	1525	178
895	1527	177
896	1529	175
897	1531	173
898	1533	172
899	1534	170
900	1536	168
901	1537	167
902	1539	165
903	1542	163
904	1544	162
905	1546	160
906	1547	158
907	1549	157
908	1551	155
